band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note
band_A,clay,16,17.0,1.102,45.8,0.800,0.268,1.08,10.591182,
band_A,clay,17,17.3,1.121,45.7,0.800,0.268,1.08,10.591182,
band_A,clay,18,17.0,1.102,45.8,0.800,0.268,1.08,10.591182,
band_A,clay,19,16.4,1.063,46.0,0.800,0.268,1.08,10.591182,
band_A,clay,20,17.4,1.128,45.6,0.800,0.268,1.08,10.591182,
band_A,rubber,1,9.4,0.609,48.2,0.800,0.268,1.08,10.591182,
band_A,rubber,2,9.4,0.609,48.0,0.800,0.268,1.08,10.591182,
band_A,rubber,3,9.6,0.622,48.2,0.800,0.268,1.08,10.591182,
band_A,rubber,4,9.6,0.622,48.3,0.800,0.268,1.08,10.591182,
band_A,rubber,5,9.4,0.609,48.1,0.800,0.268,1.08,10.591182,
band_A,rubber,6,9.4,0.609,48.0,0.800,0.268,1.08,10.591182,
band_A,rubber,7,9.3,0.603,48.0,0.800,0.268,1.08,10.591182,
band_A,rubber,8,9.4,0.609,48.1,0.800,0.268,1.08,10.591182,
band_A,rubber,9,9.4,0.609,48.0,0.800,0.268,1.08,10.591182,
band_A,rubber,10,9.4,0.609,48.0,0.800,0.268,1.08,10.591182,
band_A,rubber,11,9.4,0.609,48.1,0.800,0.268,1.08,10.591182,
band_A,rubber,12,9.4,0.609,48.0,0.800,0.268,1.08,10.591182,
band_A,rubber,13,9.4,0.609,47.8,0.800,0.268,1.08,10.591182,
band_A,rubber,14,9.4,0.609,48.0,0.800,0.268,1.08,10.591182,
band_A,rubber,15,9.4,0.609,48.0,0.800,0.268,1.08,10.591182,
band_A,rubber,16,9.6,0.622,48.0,0.800,0.268,1.08,10.591182,
band_A,rubber,17,9.6,0.622,48.0,0.800,0.268,1.08,10.591182,
band_A,rubber,18,9.4,0.609,48.0,0.800,0.268,1.08,10.591182,
band_A,rubber,19,9.1,0.590,48.1,0.800,0.268,1.08,10.591182,
band_A,rubber,20,9.3,0.603,48.0,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",1,129.2,8.372,24.0,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",2,129.2,8.372,24.2,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",3,129.0,8.359,24.1,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",4,129.0,8.359,24.2,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",5,129.2,8.372,24.2,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",6,129.2,8.372,24.6,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",7,129.2,8.372,24.2,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",8,129.2,8.372,24.2,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",9,129.2,8.372,24.1,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",10,129.0,8.359,24.1,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",11,129.2,8.372,24.2,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",12,129.0,8.359,24.1,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",13,129.2,8.372,24.1,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",14,129.0,8.359,24.1,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",15,129.2,8.372,24.1,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",16,129.2,8.372,24.1,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",17,129.0,8.359,24.0,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",18,129.2,8.372,24.0,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",19,129.3,8.378,24.0,0.800,0.268,1.08,10.591182,
band_A,"1/2"" steel",20,129.2,8.372,24.0,0.800,0.268,1.08,10.591182,
band_B,"1/2"" steel",1,129.0,8.359,34.4,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",2,129.0,8.359,34.0,0.800,0.267,2.10,20.593965,
